bedrijfstak,sbi,cluster,jaar,cloud,e_facturering,ict_specialisten,online_verkoop,big_data,ai_toepassing,werkzame_personen,rang_in_jaar
Bouwnijverheid,F,Bouw & landbouw,2015,28.0,24.3,17.6,13.7,7.7,0.8,490,14
Bouwnijverheid,F,Bouw & landbouw,2016,35.6,29.6,18.9,13.4,13.3,0.7,490,14
Bouwnijverheid,F,Bouw & landbouw,2017,43.1,34.7,24.2,17.4,16.1,3.4,490,13
Bouwnijverheid,F,Bouw & landbouw,2018,48.8,39.0,25.1,21.4,15.9,2.5,490,14
Bouwnijverheid,F,Bouw & landbouw,2019,58.3,49.6,30.2,23.8,21.7,0.4,490,13
Bouwnijverheid,F,Bouw & landbouw,2020,66.8,56.0,33.2,26.9,23.9,5.6,490,13
Bouwnijverheid,F,Bouw & landbouw,2021,76.9,64.1,39.1,31.1,23.9,17.5,490,12
Bouwnijverheid,F,Bouw & landbouw,2022,87.5,75.7,43.2,31.0,31.4,33.7,490,11
Bouwnijverheid,F,Bouw & landbouw,2023,97.2,83.0,46.1,35.9,31.4,44.9,490,11
Bouwnijverheid,F,Bouw & landbouw,2024,98.0,94.1,51.1,42.4,38.8,52.6,490,9
"Cultuur, sport en recreatie",R,Publiek & consument,2015,32.5,26.0,16.0,14.1,9.2,2.4,160,13
"Cultuur, sport en recreatie",R,Publiek & consument,2016,37.6,32.0,21.4,15.4,8.6,1.7,160,13
"Cultuur, sport en recreatie",R,Publiek & consument,2017,42.2,34.5,22.8,13.7,13.8,4.4,160,14
"Cultuur, sport en recreatie",R,Publiek & consument,2018,48.4,42.4,26.2,19.9,14.9,3.7,160,13
"Cultuur, sport en recreatie",R,Publiek & consument,2019,57.7,47.0,26.8,24.3,17.2,2.9,160,14
"Cultuur, sport en recreatie",R,Publiek & consument,2020,64.3,53.8,31.4,25.5,20.1,4.3,160,14
"Cultuur, sport en recreatie",R,Publiek & consument,2021,75.5,64.9,37.3,32.1,24.4,14.6,160,13
"Cultuur, sport en recreatie",R,Publiek & consument,2022,86.8,69.7,40.3,33.4,27.2,33.5,160,13
