film,jaar,decennium,regisseur,genre,land,gemiddelde_shotlengte,aantal_shots,speelduur
Eerste kust: Terugkeer,1920,1920,Ferrante,Thriller,Verenigde Staten,5.72,1217,116
Rode machine,1920,1920,Mercier,Thriller,Hongkong,5.33,934,83
Stille belofte: Het begin,1920,1920,Laurent,Actie,Verenigde Staten,5.62,1388,130
Koude stad III,1921,1920,Mercier,Komedie,Verenigde Staten,6.26,652,68
Twaalf wachter: Terugkeer,1921,1920,Tanaka,Arthouse,Verenigde Staten,15.33,423,108
Witte spoor: Terugkeer,1921,1920,Moreau,Actie,Verenigde Staten,6.96,810,94
Eerste markt: Terugkeer,1922,1920,Vermeulen,Komedie,Japan,3.61,1679,101
Stille kamer: Terugkeer,1922,1920,Mercier,Komedie,Verenigd Koninkrijk,3.58,1575,94
Witte sneeuw,1922,1920,Blomqvist,Actie,Frankrijk,4.94,1555,128
Het brug: Het begin,1923,1920,Nakamura,Komedie,Verenigde Staten,8.21,724,99
Nacht van kliff: Terugkeer,1923,1920,Laurent,Drama,Verenigd Koninkrijk,15.94,440,117
Zeven schaduw III,1923,1920,Rossi,Drama,Nederland,4.93,1521,125
Brief aan zomer,1924,1920,Lindgren,Komedie,Japan,6.2,997,103
Zeven kliff,1924,1920,Nakamura,Actie,Verenigde Staten,10.86,641,116
Zomer in kust: Terugkeer,1924,1920,Serrano,Thriller,Duitsland,2.56,2320,99
Een machine II,1925,1920,Haddad,Drama,Verenigde Staten,4.21,1354,95
Rode stad,1925,1920,Andersson,Arthouse,Verenigd Koninkrijk,12.16,602,122
Witte toren,1925,1920,Haddad,Arthouse,Verenigde Staten,19.51,418,136
De dans,1926,1920,Costa,Thriller,Frankrijk,4.01,1436,96
Nacht van rivier: Het begin,1926,1920,De Wit,Drama,Verenigde Staten,16.48,459,126
Twaalf spiegel,1926,1920,Serrano,Thriller,Verenigde Staten,7.01,950,111
Gouden tuin,1927,1920,Ferrante,Drama,Verenigde Staten,23.8,310,123
Laatste zomer,1927,1920,Vermeulen,Drama,Verenigde Staten,6.23,1040,108
Rode kliff,1927,1920,Mercier,Drama,Frankrijk,22.67,312,118
Koude hemel II,1928,1920,Andersson,Komedie,Verenigde Staten,7.97,512,68
Laatste stem,1928,1920,Halvorsen,Drama,Verenigde Staten,3.76,2282,143
Stille schaduw: Finale,1928,1920,Serrano,Actie,Nederland,9.04,730,110
Een kamer,1929,1920,Andersson,Actie,Japan,3.07,2404,123
Verloren stad II,1929,1920,Vermeulen,Komedie,Duitsland,17.38,366,106
Verloren wachter: Finale,1929,1920,Laurent,Arthouse,Zweden,20.67,433,149
Onder de trein: Het begin,1930,1930,Rossi,Drama,Japan,9.09,759,115
Stille zomer,1930,1930,Okada,Arthouse,Verenigd Koninkrijk,19.89,365,121
Vreemde sneeuw: Terugkeer,1930,1930,Van Doorn,Komedie,Italië,6.05,1091,110
Een kust: Het begin,1931,1930,Bakker,Arthouse,Verenigd Koninkrijk,4.73,1446,114
Een zomer II,1931,1930,Halvorsen,Drama,Verenigde Staten,20.09,424,142
Terug naar winter II,1931,1930,Vermeulen,Actie,Nederland,8.97,803,120
Stille spiegel: Terugkeer,1932,1930,Serrano,Arthouse,Verenigde Staten,25.43,285,121
Terug naar haven: Terugkeer,1932,1930,Halvorsen,Arthouse,Verenigd Koninkrijk,12.25,553,113
Twaalf schaduw,1932,1930,De Wit,Komedie,Verenigde Staten,10.23,534,91
Koude rivier: Het begin,1933,1930,Nakamura,Drama,Verenigde Staten,9.37,788,123
Koude wachter,1933,1930,Van Doorn,Arthouse,Japan,38.0,272,172
Nacht van spiegel: Het begin,1933,1930,Bakker,Drama,Hongkong,27.26,277,126
Brief aan spoor III,1934,1930,Costa,Drama,Frankrijk,10.61,582,103
Gouden markt: Terugkeer,1934,1930,Nakamura,Thriller,Japan,5.05,1093,92
Twaalf markt: Het begin,1934,1930,Rossi,Thriller,Japan,17.41,300,87
Brief aan grens,1935,1930,Blomqvist,Thriller,Hongkong,16.42,409,112
De schaduw,1935,1930,Tanaka,Arthouse,Verenigde Staten,20.26,397,134
Nacht van winter,1935,1930,De Wit,Arthouse,Verenigde Staten,24.62,275,113
Vreemde straat,1936,1930,Moreau,Drama,Verenigde Staten,10.55,626,110
Zeven rivier III,1936,1930,Okada,Actie,Verenigd Koninkrijk,6.68,1006,112
Zeven spiegel,1936,1930,Vermeulen,Thriller,Verenigde Staten,2.61,1931,84
Een winter,1937,1930,Halvorsen,Arthouse,Japan,22.53,365,137
Rode stem,1937,1930,Andersson,Drama,Verenigde Staten,14.27,492,117
Zeven vuurtoren,1937,1930,Serrano,Drama,Zweden,14.34,603,144
Blauwe dans,1938,1930,De Wit,Actie,Verenigde Staten,6.16,1325,136
Koude grens: Het begin,1938,1930,Vermeulen,Komedie,Verenigde Staten,15.2,343,87
Stille dans,1938,1930,Tanaka,Thriller,Duitsland,5.85,1272,124
Achter de grens II,1939,1930,Tanaka,Actie,Frankrijk,3.26,2356,128
Blauwe markt II,1939,1930,Haddad,Actie,Italië,2.76,2348,108
Twaalf brug: Het begin,1939,1930,Rossi,Actie,Verenigde Staten,6.11,1090,111
