country,iso3,region,year,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,perceived_absence_of_corruption,population_millions,rank_in_year
Finland,FIN,Europe,2015,7.395,1.48,1.536,0.839,0.674,0.198,0.47,5.2,3
Finland,FIN,Europe,2016,7.475,1.52,1.565,0.868,0.705,0.187,0.465,5.2,2
Finland,FIN,Europe,2017,7.52,1.499,1.445,0.801,0.675,0.196,0.455,5.3,2
Finland,FIN,Europe,2018,7.527,1.51,1.51,0.875,0.711,0.195,0.481,5.3,1
Finland,FIN,Europe,2019,7.603,1.559,1.512,0.845,0.69,0.199,0.461,5.3,1
Finland,FIN,Europe,2020,7.475,1.474,1.446,0.857,0.734,0.214,0.454,5.4,1
Finland,FIN,Europe,2021,7.526,1.424,1.508,0.924,0.644,0.197,0.448,5.4,1
Finland,FIN,Europe,2022,7.641,1.549,1.546,0.835,0.723,0.205,0.467,5.4,1
Finland,FIN,Europe,2023,7.816,1.551,1.557,0.846,0.717,0.195,0.442,5.5,1
Finland,FIN,Europe,2024,7.694,1.484,1.517,0.939,0.643,0.188,0.454,5.5,1
Denmark,DNK,Europe,2015,7.617,1.535,1.432,0.755,0.69,0.214,0.459,5.6,1
Denmark,DNK,Europe,2016,7.599,1.576,1.56,0.853,0.692,0.234,0.492,5.6,1
Denmark,DNK,Europe,2017,7.581,1.553,1.453,0.893,0.706,0.225,0.442,5.7,1
Denmark,DNK,Europe,2018,7.522,1.581,1.438,0.849,0.708,0.208,0.511,5.7,2
Denmark,DNK,Europe,2019,7.603,1.531,1.57,0.882,0.683,0.23,0.467,5.7,2
Denmark,DNK,Europe,2020,7.405,1.613,1.507,0.835,0.706,0.253,0.471,5.8,2
Denmark,DNK,Europe,2021,7.357,1.552,1.496,0.86,0.718,0.211,0.504,5.8,2
Denmark,DNK,Europe,2022,7.524,1.523,1.589,0.913,0.703,0.223,0.483,5.8,2
Denmark,DNK,Europe,2023,7.619,1.615,1.539,0.889,0.696,0.22,0.495,5.9,2
Denmark,DNK,Europe,2024,7.654,1.711,1.57,0.871,0.67,0.22,0.498,5.9,2
Netherlands,NLD,Europe,2015,7.36,1.543,1.61,0.763,0.611,0.283,0.386,16.8,4
Netherlands,NLD,Europe,2016,7.394,1.504,1.539,0.865,0.627,0.307,0.385,16.9,4
Netherlands,NLD,Europe,2017,7.347,1.534,1.486,0.858,0.57,0.275,0.395,17.1,4
Netherlands,NLD,Europe,2018,7.31,1.546,1.557,0.894,0.678,0.261,0.375,17.2,4
Netherlands,NLD,Europe,2019,7.36,1.598,1.566,0.779,0.668,0.264,0.39,17.3,3
Netherlands,NLD,Europe,2020,7.14,1.581,1.527,0.87,0.645,0.309,0.382,17.4,4
Netherlands,NLD,Europe,2021,7.225,1.673,1.518,0.87,0.71,0.267,0.394,17.5,4
Netherlands,NLD,Europe,2022,7.364,1.598,1.542,0.893,0.656,0.263,0.357,17.6,3
Netherlands,NLD,Europe,2023,7.417,1.541,1.438,0.84,0.672,0.288,0.402,17.7,3
Netherlands,NLD,Europe,2024,7.324,1.61,1.432,0.921,0.681,0.27,0.404,17.8,4
Costa Rica,CRI,Latin America,2015,7.289,1.142,1.244,0.824,0.628,0.156,0.142,4.9,5
Costa Rica,CRI,Latin America,2016,7.235,1.229,1.295,0.82,0.667,0.169,0.139,5.0,7
Costa Rica,CRI,Latin America,2017,7.145,1.217,1.356,0.794,0.666,0.158,0.127,5.0,7
Costa Rica,CRI,Latin America,2018,7.147,1.095,1.394,0.805,0.615,0.16,0.145,5.0,7
Costa Rica,CRI,Latin America,2019,7.155,1.251,1.347,0.832,0.668,0.17,0.136,5.0,7
Costa Rica,CRI,Latin America,2020,7.033,1.114,1.246,0.744,0.657,0.172,0.14,5.1,6
Costa Rica,CRI,Latin America,2021,6.948,1.209,1.273,0.817,0.675,0.16,0.143,5.1,5
Costa Rica,CRI,Latin America,2022,7.15,1.211,1.282,0.798,0.657,0.149,0.137,5.1,6
Costa Rica,CRI,Latin America,2023,7.13,1.266,1.35,0.845,0.634,0.152,0.131,5.2,6
Costa Rica,CRI,Latin America,2024,7.012,1.282,1.319,0.797,0.611,0.15,0.139,5.2,6
Israel,ISR,Middle East,2015,7.199,1.42,1.286,0.871,0.429,0.138,0.113,9.1,7
Israel,ISR,Middle East,2016,7.273,1.285,1.37,0.875,0.432,0.155,0.113,9.1,6
Israel,ISR,Middle East,2017,7.35,1.438,1.496,0.893,0.448,0.137,0.114,9.2,3
Israel,ISR,Middle East,2018,7.409,1.413,1.393,0.942,0.409,0.153,0.121,9.3,3
Israel,ISR,Middle East,2019,7.294,1.479,1.527,0.876,0.45,0.155,0.106,9.3,5
Israel,ISR,Middle East,2020,7.215,1.466,1.422,0.884,0.437,0.164,0.108,9.4,3
Israel,ISR,Middle East,2021,7.294,1.466,1.327,0.861,0.487,0.157,0.113,9.4,3
Israel,ISR,Middle East,2022,7.254,1.505,1.447,0.953,0.448,0.15,0.112,9.5,4
Israel,ISR,Middle East,2023,7.313,1.538,1.438,0.876,0.463,0.161,0.104,9.5,4
Israel,ISR,Middle East,2024,7.41,1.506,1.43,0.891,0.423,0.163,0.115,9.6,3
Australia,AUS,Oceania,2015,7.208,1.391,1.581,0.904,0.676,0.31,0.338,24.6,6
Australia,AUS,Oceania,2016,7.276,1.353,1.436,0.873,0.643,0.291,0.348,24.8,5
Australia,AUS,Oceania,2017,7.268,1.512,1.518,0.887,0.622,0.309,0.351,24.9,6
Australia,AUS,Oceania,2018,7.17,1.463,1.48,0.881,0.634,0.3,0.352,25.1,5
Australia,AUS,Oceania,2019,7.192,1.436,1.505,0.927,0.641,0.298,0.356,25.2,6
Australia,AUS,Oceania,2020,6.972,1.409,1.439,0.863,0.649,0.307,0.313,25.4,7
Australia,AUS,Oceania,2021,6.948,1.623,1.412,0.852,0.611,0.306,0.357,25.5,6
Australia,AUS,Oceania,2022,7.151,1.627,1.522,0.904,0.645,0.32,0.364,25.7,5
Australia,AUS,Oceania,2023,7.181,1.486,1.471,0.935,0.623,0.313,0.358,25.8,5
Australia,AUS,Oceania,2024,7.154,1.548,1.631,0.958,0.625,0.301,0.386,26.0,5
Canada,CAN,North America,2015,7.409,1.501,1.517,0.86,0.601,0.322,0.365,36.9,2
Canada,CAN,North America,2016,7.448,1.505,1.461,0.894,0.644,0.323,0.361,37.1,3
Canada,CAN,North America,2017,7.315,1.51,1.398,0.848,0.63,0.301,0.354,37.4,5
Canada,CAN,North America,2018,7.159,1.44,1.493,0.894,0.629,0.317,0.34,37.6,6
Canada,CAN,North America,2019,7.34,1.52,1.524,0.85,0.625,0.297,0.371,37.8,4
Canada,CAN,North America,2020,7.086,1.39,1.412,0.907,0.586,0.317,0.345,38.1,5
Canada,CAN,North America,2021,6.942,1.429,1.417,0.899,0.646,0.329,0.382,38.3,7
Canada,CAN,North America,2022,7.15,1.444,1.43,0.859,0.603,0.319,0.36,38.5,7
Canada,CAN,North America,2023,7.059,1.438,1.388,0.899,0.625,0.316,0.359,38.8,7
Canada,CAN,North America,2024,6.934,1.581,1.481,0.902,0.613,0.318,0.321,39.0,7
United States,USA,North America,2015,7.061,1.552,1.316,0.756,0.543,0.236,0.148,316.9,8
United States,USA,North America,2016,7.061,1.589,1.434,0.754,0.522,0.249,0.15,318.9,8
United States,USA,North America,2017,7.084,1.588,1.36,0.719,0.532,0.243,0.143,320.9,8
United States,USA,North America,2018,6.993,1.55,1.406,0.781,0.531,0.273,0.148,322.9,8
United States,USA,North America,2019,7.026,1.598,1.463,0.699,0.524,0.252,0.154,324.9,8
United States,USA,North America,2020,6.91,1.62,1.427,0.798,0.56,0.275,0.149,327.0,9
United States,USA,North America,2021,6.761,1.543,1.421,0.749,0.545,0.271,0.149,329.0,9
United States,USA,North America,2022,6.841,1.692,1.401,0.761,0.546,0.256,0.154,331.0,10
United States,USA,North America,2023,6.754,1.739,1.493,0.791,0.546,0.246,0.158,333.0,11
United States,USA,North America,2024,6.718,1.682,1.373,0.774,0.556,0.263,0.15,335.0,13
United Kingdom,GBR,Europe,2015,6.829,1.487,1.467,0.83,0.584,0.334,0.274,63.9,10
United Kingdom,GBR,Europe,2016,7.007,1.45,1.516,0.804,0.549,0.298,0.3,64.3,9
United Kingdom,GBR,Europe,2017,6.952,1.39,1.381,0.777,0.576,0.314,0.279,64.7,10
United Kingdom,GBR,Europe,2018,6.851,1.463,1.406,0.836,0.518,0.319,0.283,65.1,10
United Kingdom,GBR,Europe,2019,6.898,1.467,1.417,0.845,0.539,0.34,0.289,65.5,9
United Kingdom,GBR,Europe,2020,6.713,1.463,1.384,0.814,0.542,0.344,0.286,65.9,10
United Kingdom,GBR,Europe,2021,6.754,1.621,1.384,0.85,0.611,0.296,0.274,66.3,10
United Kingdom,GBR,Europe,2022,6.88,1.519,1.494,0.847,0.558,0.321,0.289,66.7,9
United Kingdom,GBR,Europe,2023,6.756,1.469,1.47,0.826,0.527,0.328,0.273,67.1,10
United Kingdom,GBR,Europe,2024,6.908,1.573,1.488,0.882,0.548,0.302,0.28,67.5,8
Germany,DEU,Europe,2015,7.017,1.449,1.434,0.855,0.56,0.226,0.322,79.5,9
Germany,DEU,Europe,2016,6.947,1.499,1.431,0.886,0.587,0.228,0.292,80.0,10
Germany,DEU,Europe,2017,6.969,1.499,1.338,0.888,0.601,0.205,0.309,80.5,9
Germany,DEU,Europe,2018,6.952,1.537,1.461,0.795,0.575,0.233,0.293,81.0,9
Germany,DEU,Europe,2019,6.889,1.44,1.37,0.861,0.619,0.224,0.303,81.5,10
Germany,DEU,Europe,2020,6.924,1.499,1.356,0.873,0.593,0.231,0.286,82.0,8
Germany,DEU,Europe,2021,6.797,1.555,1.32,0.853,0.567,0.224,0.299,82.5,8
Germany,DEU,Europe,2022,6.915,1.529,1.501,0.911,0.571,0.227,0.291,83.0,8
